日付,出勤時間,退勤時間,勤務時間,休憩時間
2024/02/03(Sat),09:15,22:30,11:45,1:30
2024/02/04(Sun),09:45,22:30,11:15,1:30
2024/02/10(Sat),09:15,21:30,10:45,1:30
2023/12/17(Sun),09:45,21:30,9:45,2:00
2023/12/16(Sat),09:15,21:30,10:45,1:30
2023/12/30(Sat),09:15,21:30,10:45,1:30
2023/12/31(Sun),09:45,17:00,6:15,1:00
2024/01/27(Sat),09:15,18:00,7:15,1:30
2024/01/28(Sun),09:45,22:30,11:15,1:30
2024/01/20(Sat),09:15,21:30,10:45,1:30
2024/01/21(Sun),09:45,22:30,11:15,1:30
2024/01/01(Mon),10:00,21:30,10:00,1:30
2024/01/02(Tue),09:45,22:30,11:15,1:30
2024/01/03(Wed),09:45,22:30,11:15,1:30
2024/01/06(Sat),09:15,22:30,11:45,1:30
2024/01/07(Sun),11:00,22:30,10:00,1:30
2024/01/13(Sat),09:15,21:30,10:45,1:30
2024/01/14(Sun),09:45,22:30,11:15,1:30
